2025-06-21 11:22:51,869 - conftest.py:[52] - [INFO] - --- Test run started. Logging to F:\TY_New\PythonRMG\HarshaFW_Python\logs\logs_21_06_2025_11_22_51\log_21_06_2025_11_22_51.log ---
2025-06-21 11:22:51,870 - base_test.py:[33] - [INFO] - --- Starting test: test_select_date_with_arrows ---
2025-06-21 11:22:51,873 - base_test.py:[69] - [INFO] - Setting up 'chrome' browser (Headless: False)
2025-06-21 11:22:51,873 - base_test.py:[85] - [INFO] - Using dedicated Chrome profile: F:\TY_New\PythonRMG\HarshaFW_Python\automation_chrome_profile
2025-06-21 11:22:53,264 - base_test.py:[107] - [INFO] - Chrome WebDriver initialized with dedicated profile and popup suppression.
2025-06-21 11:22:56,179 - base_page.py:[99] - [INFO] - Successfully navigated to: https://testautomationpractice.blogspot.com/
2025-06-21 11:22:56,181 - date_picker_page.py:[36] - [INFO] - Attempting to select date using arrows: 15-August-2026
2025-06-21 11:22:56,200 - base_page.py:[127] - [INFO] - Scrolled to element: ('id', 'datepicker')
2025-06-21 11:22:56,268 - base_page.py:[36] - [INFO] - Successfully clicked element: ('id', 'datepicker')
2025-06-21 11:22:56,278 - base_page.py:[113] - [INFO] - Element found: ('id', 'ui-datepicker-div')
2025-06-21 11:22:56,304 - base_page.py:[81] - [INFO] - Retrieved text 'June' from element: ('class name', 'ui-datepicker-month')
2025-06-21 11:22:56,320 - base_page.py:[81] - [INFO] - Retrieved text '2025' from element: ('class name', 'ui-datepicker-year')
2025-06-21 11:22:56,373 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 11:22:56,606 - base_page.py:[81] - [INFO] - Retrieved text 'July' from element: ('class name', 'ui-datepicker-month')
2025-06-21 11:22:56,618 - base_page.py:[81] - [INFO] - Retrieved text '2025' from element: ('class name', 'ui-datepicker-year')
2025-06-21 11:22:56,661 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 11:22:56,889 - base_page.py:[81] - [INFO] - Retrieved text 'August' from element: ('class name', 'ui-datepicker-month')
2025-06-21 11:22:56,902 - base_page.py:[81] - [INFO] - Retrieved text '2025' from element: ('class name', 'ui-datepicker-year')
2025-06-21 11:22:56,941 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 11:22:57,165 - base_page.py:[81] - [INFO] - Retrieved text 'September' from element: ('class name', 'ui-datepicker-month')
2025-06-21 11:22:57,178 - base_page.py:[81] - [INFO] - Retrieved text '2025' from element: ('class name', 'ui-datepicker-year')
2025-06-21 11:22:57,218 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 11:22:57,452 - base_page.py:[81] - [INFO] - Retrieved text 'October' from element: ('class name', 'ui-datepicker-month')
2025-06-21 11:22:57,464 - base_page.py:[81] - [INFO] - Retrieved text '2025' from element: ('class name', 'ui-datepicker-year')
2025-06-21 11:22:57,503 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 11:22:57,735 - base_page.py:[81] - [INFO] - Retrieved text 'November' from element: ('class name', 'ui-datepicker-month')
2025-06-21 11:22:57,747 - base_page.py:[81] - [INFO] - Retrieved text '2025' from element: ('class name', 'ui-datepicker-year')
2025-06-21 11:22:57,785 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 11:22:58,005 - base_page.py:[81] - [INFO] - Retrieved text 'December' from element: ('class name', 'ui-datepicker-month')
2025-06-21 11:22:58,018 - base_page.py:[81] - [INFO] - Retrieved text '2025' from element: ('class name', 'ui-datepicker-year')
2025-06-21 11:22:58,060 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 11:22:58,293 - base_page.py:[81] - [INFO] - Retrieved text 'January' from element: ('class name', 'ui-datepicker-month')
2025-06-21 11:22:58,305 - base_page.py:[81] - [INFO] - Retrieved text '2026' from element: ('class name', 'ui-datepicker-year')
2025-06-21 11:22:58,344 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 11:22:58,575 - base_page.py:[81] - [INFO] - Retrieved text 'February' from element: ('class name', 'ui-datepicker-month')
2025-06-21 11:22:58,589 - base_page.py:[81] - [INFO] - Retrieved text '2026' from element: ('class name', 'ui-datepicker-year')
2025-06-21 11:22:58,627 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 11:22:58,861 - base_page.py:[81] - [INFO] - Retrieved text 'March' from element: ('class name', 'ui-datepicker-month')
2025-06-21 11:22:58,873 - base_page.py:[81] - [INFO] - Retrieved text '2026' from element: ('class name', 'ui-datepicker-year')
2025-06-21 11:22:58,912 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 11:22:59,140 - base_page.py:[81] - [INFO] - Retrieved text 'April' from element: ('class name', 'ui-datepicker-month')
2025-06-21 11:22:59,152 - base_page.py:[81] - [INFO] - Retrieved text '2026' from element: ('class name', 'ui-datepicker-year')
2025-06-21 11:22:59,191 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 11:22:59,425 - base_page.py:[81] - [INFO] - Retrieved text 'May' from element: ('class name', 'ui-datepicker-month')
2025-06-21 11:22:59,437 - base_page.py:[81] - [INFO] - Retrieved text '2026' from element: ('class name', 'ui-datepicker-year')
2025-06-21 11:22:59,475 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 11:22:59,716 - base_page.py:[81] - [INFO] - Retrieved text 'June' from element: ('class name', 'ui-datepicker-month')
2025-06-21 11:22:59,728 - base_page.py:[81] - [INFO] - Retrieved text '2026' from element: ('class name', 'ui-datepicker-year')
2025-06-21 11:22:59,767 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 11:22:59,997 - base_page.py:[81] - [INFO] - Retrieved text 'July' from element: ('class name', 'ui-datepicker-month')
2025-06-21 11:23:00,011 - base_page.py:[81] - [INFO] - Retrieved text '2026' from element: ('class name', 'ui-datepicker-year')
2025-06-21 11:23:00,059 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 11:23:00,294 - base_page.py:[81] - [INFO] - Retrieved text 'August' from element: ('class name', 'ui-datepicker-month')
2025-06-21 11:23:00,307 - base_page.py:[81] - [INFO] - Retrieved text '2026' from element: ('class name', 'ui-datepicker-year')
2025-06-21 11:23:00,357 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//td[@data-handler='selectDay']/a[text()='15']")
2025-06-21 11:23:00,358 - date_picker_page.py:[58] - [INFO] - Successfully selected date: 15-August-2026
2025-06-21 11:23:03,382 - base_page.py:[113] - [INFO] - Element found: ('id', 'datepicker')
2025-06-21 11:23:03,399 - base_test.py:[61] - [INFO] - --- Finished test: test_select_date_with_arrows ---
2025-06-21 11:23:05,740 - conftest.py:[54] - [INFO] - --- Test run finished. ---
