2025-06-21 12:17:06,398 - conftest.py:[52] - [INFO] - --- Test run started. Logging to F:\TY_New\PythonRMG\HarshaFW_Python\logs\logs_21_06_2025_12_17_06\log_21_06_2025_12_17_06.log ---
2025-06-21 12:17:06,399 - base_test.py:[33] - [INFO] - --- Starting test: test_select_date_with_arrows ---
2025-06-21 12:17:06,401 - base_test.py:[69] - [INFO] - Setting up 'chrome' browser (Headless: False)
2025-06-21 12:17:06,402 - base_test.py:[85] - [INFO] - Using dedicated Chrome profile: F:\TY_New\PythonRMG\HarshaFW_Python\automation_chrome_profile
2025-06-21 12:17:07,864 - base_test.py:[107] - [INFO] - Chrome WebDriver initialized with dedicated profile and popup suppression.
2025-06-21 12:17:10,924 - base_page.py:[99] - [INFO] - Successfully navigated to: https://testautomationpractice.blogspot.com/
2025-06-21 12:17:10,926 - date_picker_page.py:[42] - [INFO] - Attempting to select date using arrows: 15-August-2026
2025-06-21 12:17:10,945 - base_page.py:[127] - [INFO] - Scrolled to element: ('id', 'datepicker')
2025-06-21 12:17:11,045 - base_page.py:[36] - [INFO] - Successfully clicked element: ('id', 'datepicker')
2025-06-21 12:17:11,056 - base_page.py:[113] - [INFO] - Element found: ('id', 'ui-datepicker-div')
2025-06-21 12:17:11,083 - base_page.py:[81] - [INFO] - Retrieved text 'June' from element: ('class name', 'ui-datepicker-month')
2025-06-21 12:17:11,107 - base_page.py:[81] - [INFO] - Retrieved text '2025' from element: ('class name', 'ui-datepicker-year')
2025-06-21 12:17:11,183 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 12:17:11,417 - base_page.py:[81] - [INFO] - Retrieved text 'July' from element: ('class name', 'ui-datepicker-month')
2025-06-21 12:17:11,436 - base_page.py:[81] - [INFO] - Retrieved text '2025' from element: ('class name', 'ui-datepicker-year')
2025-06-21 12:17:11,491 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 12:17:11,713 - base_page.py:[81] - [INFO] - Retrieved text 'August' from element: ('class name', 'ui-datepicker-month')
2025-06-21 12:17:11,728 - base_page.py:[81] - [INFO] - Retrieved text '2025' from element: ('class name', 'ui-datepicker-year')
2025-06-21 12:17:11,774 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 12:17:12,012 - base_page.py:[81] - [INFO] - Retrieved text 'September' from element: ('class name', 'ui-datepicker-month')
2025-06-21 12:17:12,026 - base_page.py:[81] - [INFO] - Retrieved text '2025' from element: ('class name', 'ui-datepicker-year')
2025-06-21 12:17:12,077 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 12:17:12,305 - base_page.py:[81] - [INFO] - Retrieved text 'October' from element: ('class name', 'ui-datepicker-month')
2025-06-21 12:17:12,320 - base_page.py:[81] - [INFO] - Retrieved text '2025' from element: ('class name', 'ui-datepicker-year')
2025-06-21 12:17:12,370 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
