2025-06-21 12:16:25,770 - conftest.py:[52] - [INFO] - --- Test run started. Logging to F:\TY_New\PythonRMG\HarshaFW_Python\logs\logs_21_06_2025_12_16_25\log_21_06_2025_12_16_25.log ---
2025-06-21 12:16:25,770 - base_test.py:[33] - [INFO] - --- Starting test: test_select_date_with_arrows ---
2025-06-21 12:16:25,773 - base_test.py:[69] - [INFO] - Setting up 'chrome' browser (Headless: False)
2025-06-21 12:16:25,774 - base_test.py:[85] - [INFO] - Using dedicated Chrome profile: F:\TY_New\PythonRMG\HarshaFW_Python\automation_chrome_profile
2025-06-21 12:16:27,384 - base_test.py:[107] - [INFO] - Chrome WebDriver initialized with dedicated profile and popup suppression.
2025-06-21 12:16:30,412 - base_page.py:[99] - [INFO] - Successfully navigated to: https://testautomationpractice.blogspot.com/
2025-06-21 12:16:30,413 - date_picker_page.py:[42] - [INFO] - Attempting to select date using arrows: 15-August-2026
2025-06-21 12:16:30,440 - base_page.py:[127] - [INFO] - Scrolled to element: ('id', 'datepicker')
2025-06-21 12:16:30,567 - base_page.py:[36] - [INFO] - Successfully clicked element: ('id', 'datepicker')
2025-06-21 12:16:30,584 - base_page.py:[113] - [INFO] - Element found: ('id', 'ui-datepicker-div')
2025-06-21 12:16:30,621 - base_page.py:[81] - [INFO] - Retrieved text 'June' from element: ('class name', 'ui-datepicker-month')
2025-06-21 12:16:30,657 - base_page.py:[81] - [INFO] - Retrieved text '2025' from element: ('class name', 'ui-datepicker-year')
2025-06-21 12:16:30,919 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 12:16:31,161 - base_page.py:[81] - [INFO] - Retrieved text 'July' from element: ('class name', 'ui-datepicker-month')
2025-06-21 12:16:31,195 - base_page.py:[81] - [INFO] - Retrieved text '2025' from element: ('class name', 'ui-datepicker-year')
2025-06-21 12:16:31,315 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 12:16:31,558 - base_page.py:[81] - [INFO] - Retrieved text 'August' from element: ('class name', 'ui-datepicker-month')
2025-06-21 12:16:31,585 - base_page.py:[81] - [INFO] - Retrieved text '2025' from element: ('class name', 'ui-datepicker-year')
2025-06-21 12:16:31,672 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 12:16:31,910 - base_page.py:[81] - [INFO] - Retrieved text 'September' from element: ('class name', 'ui-datepicker-month')
2025-06-21 12:16:31,931 - base_page.py:[81] - [INFO] - Retrieved text '2025' from element: ('class name', 'ui-datepicker-year')
2025-06-21 12:16:31,995 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 12:16:32,215 - base_page.py:[81] - [INFO] - Retrieved text 'October' from element: ('class name', 'ui-datepicker-month')
2025-06-21 12:16:32,233 - base_page.py:[81] - [INFO] - Retrieved text '2025' from element: ('class name', 'ui-datepicker-year')
2025-06-21 12:16:32,292 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 12:16:32,526 - base_page.py:[81] - [INFO] - Retrieved text 'November' from element: ('class name', 'ui-datepicker-month')
2025-06-21 12:16:32,540 - base_page.py:[81] - [INFO] - Retrieved text '2025' from element: ('class name', 'ui-datepicker-year')
2025-06-21 12:16:32,583 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 12:16:32,806 - base_page.py:[81] - [INFO] - Retrieved text 'December' from element: ('class name', 'ui-datepicker-month')
2025-06-21 12:16:32,818 - base_page.py:[81] - [INFO] - Retrieved text '2025' from element: ('class name', 'ui-datepicker-year')
2025-06-21 12:16:32,859 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 12:16:33,085 - base_page.py:[81] - [INFO] - Retrieved text 'January' from element: ('class name', 'ui-datepicker-month')
2025-06-21 12:16:33,099 - base_page.py:[81] - [INFO] - Retrieved text '2026' from element: ('class name', 'ui-datepicker-year')
2025-06-21 12:16:33,142 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 12:16:33,368 - base_page.py:[81] - [INFO] - Retrieved text 'February' from element: ('class name', 'ui-datepicker-month')
2025-06-21 12:16:33,383 - base_page.py:[81] - [INFO] - Retrieved text '2026' from element: ('class name', 'ui-datepicker-year')
2025-06-21 12:16:33,429 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 12:16:33,665 - base_page.py:[81] - [INFO] - Retrieved text 'March' from element: ('class name', 'ui-datepicker-month')
2025-06-21 12:16:33,690 - base_page.py:[81] - [INFO] - Retrieved text '2026' from element: ('class name', 'ui-datepicker-year')
2025-06-21 12:16:33,773 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 12:16:34,012 - base_page.py:[81] - [INFO] - Retrieved text 'April' from element: ('class name', 'ui-datepicker-month')
2025-06-21 12:16:34,034 - base_page.py:[81] - [INFO] - Retrieved text '2026' from element: ('class name', 'ui-datepicker-year')
2025-06-21 12:16:34,093 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 12:16:34,324 - base_page.py:[81] - [INFO] - Retrieved text 'May' from element: ('class name', 'ui-datepicker-month')
2025-06-21 12:16:34,340 - base_page.py:[81] - [INFO] - Retrieved text '2026' from element: ('class name', 'ui-datepicker-year')
